metodo,coeficiente,p_value,coluna_x,coluna_y
Mann Whitney,53526.0,0.06294220674675186,code_smells,lines_edited
Pearson,0.7512673265032589,2.985130979992394e-58,code_smells,lines_edited
Spearman,0.7626975128864991,5.273102597036029e-61,code_smells,lines_edited
Mann Whitney,54104.0,0.09423361337759077,code_smells,commits
Pearson,0.6196779841221546,5.211660810120974e-35,code_smells,commits
Spearman,0.5621302393720935,8.355676882482445e-28,code_smells,commits
Mann Whitney,22993.0,2.1247950214996922e-26,code_smells,experience_in_days
Pearson,0.3865941050184859,3.066733283296549e-12,code_smells,experience_in_days
Spearman,0.22489229266440647,7.841226692539912e-05,code_smells,experience_in_days
Mann Whitney,24263.0,2.431975305790439e-25,code_smells,experience_in_hours
Pearson,0.3905248826914766,1.2612412575528663e-12,code_smells,experience_in_hours
Spearman,0.23720940601042811,2.6764783489888253e-05,code_smells,experience_in_hours
Mann Whitney,50244.5,1.0,code_smells,code_smells
Pearson,1.0,0.0,code_smells,code_smells
Spearman,1.0,0.0,code_smells,code_smells
Mann Whitney,50093.0,0.9477902754522852,code_smells,sonar_smells
Pearson,0.8811717209223789,1.695646236143781e-104,code_smells,sonar_smells
Spearman,0.8652821316792119,1.7440405745290113e-96,code_smells,sonar_smells
Mann Whitney,114562.0,0.4492298321666439,sonar_smells,lines_edited
Pearson,0.7651239275421642,6.615520758534862e-92,sonar_smells,lines_edited
Spearman,0.7793230238317758,1.8455598134623446e-97,sonar_smells,lines_edited
Mann Whitney,107943.0,0.24954541590150048,sonar_smells,commits
Pearson,0.6641871364520413,9.487852260603016e-62,sonar_smells,commits
Spearman,0.6758816597453895,1.1175926937909424e-64,sonar_smells,commits
Mann Whitney,41080.0,1.988856329452615e-49,sonar_smells,experience_in_days
Pearson,0.4100465419983419,2.848267445044062e-19,sonar_smells,experience_in_days
Spearman,0.34261168079903737,1.4560612574141993e-13,sonar_smells,experience_in_days
Mann Whitney,47547.0,7.875302101337883e-45,sonar_smells,experience_in_hours
Pearson,0.4171234947775694,1.541264744598683e-20,sonar_smells,experience_in_hours
Spearman,0.3658328675896964,7.993808895129236e-16,sonar_smells,experience_in_hours
Mann Whitney,50396.0,0.9477902754522852,sonar_smells,code_smells
Pearson,0.8811717209223789,1.695646236143781e-104,sonar_smells,code_smells
Spearman,0.865282131679212,1.744040574528763e-96,sonar_smells,code_smells
Mann Whitney,112812.5,1.0,sonar_smells,sonar_smells
Pearson,1.0,0.0,sonar_smells,sonar_smells
Spearman,1.0,0.0,sonar_smells,sonar_smells